dist,rt
2.611138,759
4.388286,567
6.58084,767
10.79793,592
3.291965,609
6.59138,642
11.00857,567
4.352818,584
7.165464,842
5.65277,609
7.053551,767
10.88369,676
4.921128,551
10.14704,500
5.91814,851
3.430473,567
1.091772,767
4.03809,551
9.166538,567
7.112111,634
20.57524,517
12.37026,500
8.700467,734
7.426144,567
6.004795,601
4.393392,617
2.568358,592
2.494508,559
14.02389,626
5.968653,876
15.47782,592
14.07153,742
11.73995,584
11.01329,617
5.667903,534
10.51307,842
10.71462,659
4.341014,551
4.158575,601
7.961268,584
4.308724,642
16.62257,576
9.931192,575
20.86763,576
6.315456,584
3.555775,542
6.582542,642
5.958337,576
9.727554,676
4.099401,584
7.277243,592
2.595687,634
11.08595,517
9.433136,567
8.364068,734
6.460398,634
8.619895,642
10.97699,676
13.60646,612
5.460762,551
10.17534,542
12.56082,593
3.126714,609
11.37171,526
1.726288,626
3.063017,559
2.432017,759
11.01901,684
11.65154,709
6.732131,517
19.32026,617
5.279644,784
5.336335,751
5.890771,776
6.590099,642
5.491828,604
3.706865,592
1.054751,734
5.357532,559
7.477891,551
13.67616,551
11.47253,809
8.048819,809
6.931337,576
1.503115,792
10.9278,509
3.096093,617
25.54469,572
2.229827,601
0.5865561,626
6.418497,576
2.693003,634
14.94084,559
2.347332,609
6.290376,692
4.482898,525
2.548286,617
18.2648,659
1.283145,517
16.19243,684
5.854624,534
12.88588,542
4.116795,501
4.501573,592
11.20621,567
7.029086,509
3.07517,501
6.261257,551
4.345665,589
12.40726,526
7.807706,492
26.90615,542
7.747982,509
20.10419,556
20.75441,584
4.226026,492
5.828086,526
8.761079,659
17.62158,542
7.609231,517
21.15108,525
6.127882,509
1.576121,517
3.227241,526
5.644772,525
6.507186,534
5.855813,651
1.919255,517
2.25877,567
9.022634,492
13.5477,601
7.964583,567
5.61699,601
1.534463,551
5.808904,525
6.145775,525
9.973201,692
9.338935,851
18.32641,550
11.33586,826
42.637,617
1.125349,534
2.44386,514
2.995022,592
9.73588,642
7.863727,542
1.5694,692
6.149029,742
10.47106,551
6.993268,576
8.107885,559
9.027405,500
13.44409,626
4.06565,634
16.35908,667
18.03231,717
5.666234,542
14.14937,701
7.859809,517
10.40125,893
4.070416,517
6.839419,559
11.04107,526
6.789818,575
8.77159,559
10.14579,626
5.912217,450
5.26918,500
7.383698,509
1.479799,534
9.125185,634
39.32489,634
10.62243,634
6.528748,512
13.4471,709
5.659709,534
10.68985,634
5.771103,651
4.202964,567
8.868436,517
8.917046,534
3.499287,542
6.17151,559
2.236819,542
3.615261,592
2.364267,567
11.40257,634
5.952593,617
4.324376,484
10.69587,601
9.432431,592
11.92544,522
5.4586,492
6.839983,584
9.996553,734
6.501904,551
7.794512,550
4.674114,601
7.338035,525
12.67296,500
10.54321,642
5.946194,500
2.394555,609
3.812918,484
29.44025,584
12.56886,492
7.278656,692
4.871082,475
3.613896,509
10.83837,617
6.888599,601
2.81355,567
9.339798,484
9.80217,467
8.823204,676
4.268853,500
5.222305,617
5.099012,534
16.70672,534
8.521885,684
5.853052,501
5.826116,542
10.39769,517
8.397999,517
6.436579,509
7.286749,509
6.738542,559
4.644969,659
14.34646,509
6.581389,509
5.999777,567
10.79153,592
0.8585101,534
2.886324,567
10.81183,525
12.25067,726
12.18952,592
7.193934,509
4.728923,575
9.454826,584
7.724928,617
8.272776,592
6.250248,642
5.494575,542
8.409185,567
9.419179,717
5.302684,517
7.99409,534
10.96231,705
5.924868,609
3.302642,717
5.736162,634
5.220352,559
6.896436,634
15.59295,751
7.535939,567
8.068369,859
19.13006,567
6.775142,767
11.95747,746
2.953612,634
12.27454,659
1.842331,617
8.902652,592
5.531431,826
7.105822,651
5.388844,642
6.994091,584
2.405609,626
5.890859,617
2.574742,592
3.15176,567
11.06248,625
9.330806,667
2.18909,592
3.511891,651
8.356912,676
13.55306,634
5.168406,676
2.476021,667
2.055193,626
11.62295,576
13.54721,559
6.181502,692
3.874928,926
7.90661,1067
8.798134,798
11.52877,609
2.383469,684
4.140427,692
1.808949,754
8.888556,555
11.07666,584
8.629015,767
17.28927,584
6.132188,542
7.696804,640
9.474991,551
8.534463,609
0.8713874,534
15.14555,567
2.931997,534
4.778875,534
14.79558,575
12.19531,567
20.26652,559
4.03936,534
3.705668,687
6.844031,601
6.190643,692
3.708569,559
1.122348,567
4.672014,534
15.56842,525
10.18624,534
4.824079,584
14.72959,525
5.836475,526
12.39797,542
7.137851,475
10.76131,526
4.857031,517
11.48999,609
4.190742,584
12.55978,525
5.609532,525
9.737032,767
11.23191,467
8.279856,550
2.781511,622
7.513774,584
13.56462,726
5.98073,572
8.809299,517
7.630688,509
8.604874,592
13.63138,497
7.730891,567
11.83656,831
0.9223229,550
10.53351,601
6.230312,492
11.60849,717
3.377446,534
5.549539,617
0.6401954,667
9.483714,659
16.30793,484
2.786945,526
8.933657,534
12.03377,500
12.16003,534
6.151549,484
4.596723,567
5.910285,792
6.193625,584
8.405153,509
6.593684,601
7.254932,517
3.428282,564
10.04017,575
11.46803,634
8.335641,517
10.00229,600
16.388,517
7.091713,617
6.502899,517
5.262577,676
12.08054,509
11.80016,492
6.191368,667
25.11949,576
6.156522,701
1.529215,417
11.65149,559
5.697234,567
9.907728,659
5.010484,617
9.894523,492
10.51268,676
12.08267,517
6.230433,592
9.388211,634
3.37339,542
3.528871,676
3.983629,667
8.985231,517
12.09362,589
8.522635,659
10.20246,509
5.524024,517
7.796113,567
2.015424,701
8.509474,576
19.61616,642
7.123418,726
7.354169,701
3.899552,542
18.85677,601
11.40732,551
5.790895,500
9.076924,484
20.03688,592
7.663409,509
6.83945,456
5.474665,459
13.87319,509
19.32091,475
18.89707,734
8.676627,434
1.804311,542
6.814322,517
8.248417,525
2.585106,525
3.018672,589
4.986549,551
13.99648,634
23.70529,592
1.583507,559
8.419944,576
14.8645,500
4.342055,509
19.62807,492
9.497316,517
15.97918,550
7.551495,658
12.5002,492
11.23749,482
19.65541,465
11.92483,542
8.710277,642
8.299476,492
15.08184,626
8.302546,559
10.20633,817
11.72291,517
24.31548,501
6.06621,509
9.932866,542
10.21537,534
6.387007,450
33.50618,550
9.721702,475
6.591807,475
2.937932,510
7.385759,575
5.573698,526
12.37306,517
4.688458,467
12.71707,517
6.728813,584
7.930454,517
18.80417,559
10.50155,734
7.135243,617
8.604886,475
13.98064,509
5.329163,538
5.348316,475
10.78722,459
7.121055,484
5.977461,551
5.380994,567
7.728889,517
8.989908,550
28.26584,567
6.214084,551
10.90444,567
0.1622298,650
3.373302,526
5.416245,442
5.88762,609
3.96231,559
7.720043,546
5.459567,472
1.829591,592
7.658996,584
8.924045,551
4.342333,609
20.64516,475
13.68471,726
12.63115,592
13.77021,584
6.131106,551
2.018655,609
13.92571,726
8.134088,517
6.607314,679
3.526921,626
7.143158,542
10.49996,592
7.679031,550
14.74479,576
4.149315,525
3.334114,609
7.179977,542
2.675354,526
1.811436,601
2.495116,567
6.176888,567
12.11511,609
4.138384,534
11.87638,567
8.686575,567
11.92605,592
7.644763,475
14.06467,626
5.937752,751
6.262314,634
7.531364,525
7.093138,542
3.064964,579
6.898162,534
12.39234,526
10.83001,601
3.662681,592
15.08506,617
20.07692,576
6.158369,509
6.935471,584
3.681937,784
2.969354,617
14.32628,734
3.363896,817
11.66097,609
6.394805,625
5.530875,550
12.11575,717
6.089566,551
13.07273,584
9.409698,809
2.984325,601
15.92297,522
5.337303,617
3.755067,517
12.76736,576
12.88305,884
8.83446,826
24.36618,626
9.695564,567
2.887607,559
9.054768,551
14.08718,609
6.062145,601
13.78801,601
8.0047,676
5.93072,592
19.83977,717
19.26593,525
5.851598,534
12.01511,634
10.24088,742
1.003852,534
14.0051,542
4.931468,634
16.93839,509
3.985097,509
14.83484,542
10.85668,849
23.96736,809
5.120902,592
5.665918,567
16.8124,592
2.393007,500
6.659372,534
10.96664,542
13.04375,517
12.31365,500
16.15565,542
8.219769,525
20.03607,559
23.37569,509
27.2468,509
19.73005,475
5.699106,517
11.32233,701
10.37634,459
17.12853,1109
35.43055,534
19.02166,609
21.40885,567
22.62846,475
27.87026,576
15.91407,425
28.24156,551
1.768366,467
34.39651,517
28.75136,642
19.85508,601
13.59132,534
8.567046,475
19.76279,684
7.86834,509
25.15899,726
15.56273,500
2.871239,651
18.50328,651
8.744458,576
33.00734,651
5.983729,759
28.50053,509
11.46555,776
6.168665,692
20.79357,601
37.90491,701
28.9859,701
10.78833,701
7.278286,584
4.24795,559
8.866261,551
24.64693,742
10.27021,776
5.416354,792
11.64653,600
7.326277,651
3.678869,726
35.22249,984
7.598415,551
23.95599,793
7.4069,517
12.59633,576
11.72704,676
15.61488,717
34.59415,826
28.59206,634
13.66072,651
32.89114,701
3.261793,542
9.294806,684
20.26168,784
5.144207,626
21.08107,684
