Timestamp,YearsEducation,YearsUS,YearsUR,NumSocial,HourPhone,DayCook,HoursSleep,TimeBed,ScaleSocial,YearsSports
27/08/2022 15:33:57,7,6,1,3,3,5,7,10,3,0
27/08/2022 15:37:47,5,10,6,2,2,6,7,10.5,3,2
31/08/2022 17:22:51,3,9,3,6,4.5,2,6,14,4,0
31/08/2022 17:59:07,4,22,0.5,0,1.5,3,8,10.5,3,4
01/09/2022 07:04:24,2,2,2,6,4,1,6,11,6,0
01/09/2022 13:01:29,5,23,1,5,1.5,4,6.5,11,5,8
01/09/2022 14:19:44,7,25,2,1,6,2,6,14,3,0
01/09/2022 14:35:10,8,0,0,4,2,4,7,10,2,0
01/09/2022 14:51:01,4,9,4,1,1.5,4,8,11,5,4
01/09/2022 20:31:11,3,3,3,1,4,2,7,12,2,0
